서비스종류,손해배상_범위,배상금액
등기소형포장물/K-Packet,분실·전부도난·전부훼손,"52,500원 범위내 실손해액 + 납부 우편요금(등기료 제외)"
등기소형포장물/K-Packet,일부도난·일부훼손,"52,500원 범위내 실손해액"
보통소포우편물,분실·전부도난·전부훼손,"70,000원 + 1kg당 7,870원 합산금액 범위내 실손해액 + 납부 우편요금"
보통소포우편물,일부분실·도난·훼손,"70,000원 + 1kg당 7,870원 합산금액 범위내 실손해액"
보험소포우편물,분실·전부도난·전부훼손,보험가액 범위내 실손해액 + 납부 우편요금(보험취급수수료 제외)
보험소포우편물,일부분실·도난·훼손,보험가액 범위내 실손해액
국제특급(EMS),서류 분실,"52,500원 범위내 실손해액 + 국제특급우편요금"
국제특급(EMS),서류 일부도난·훼손,"52,500원 범위내 실손해액 + 납부 국제특급우편요금"
국제특급(EMS),비서류 분실·도난·훼손,"70,000원 + 1kg당 7,870원 합산금액 범위내 실손해액 + 납부 국제특급우편요금"
국제특급(EMS),보험취급 분실·도난·훼손,보험가액 범위내 실손해액 + 납부 국제특급우편요금(보험취급수수료 제외)
국제특급(EMS),48시간 이상 지연배달,납부한 국제특급우편요금(보험취급수수료 제외)
EMS프리미엄(FedEx),서류 분실,"52,500원 범위내 실손해액 + 납부 국제특급우편요금"
EMS프리미엄(FedEx),서류 일부도난·훼손,"52,500원 범위내 실손해액 + 납부 국제특급우편요금"
EMS프리미엄(FedEx),비서류 분실·도난·훼손,"70,000원 + 1kg당 7,870원 합산금액 범위내 실손해액 + 납부 국제특급우편요금"
EMS프리미엄(FedEx),보험취급 분실·도난·훼손,보험가액 범위내 실손해액 + 납부 국제특급우편요금(보험취급수수료 제외)
EMS프리미엄(FedEx),48시간 이상 지연배달,납부한 국제특급우편요금(보험취급수수료 제외)