국가명,국가코드,배송기간
영국,GB,5-8 days
독일,DE,4-9 days
프랑스,FR,4-9 days
이탈리아,IT,4-9 days
스페인,ES,4-9 days
네덜란드,NL,4-9 days
폴란드,PL,6-10 days
포르투갈,PT,6-10 days
아일랜드,IE,6-10 days
핀란드,FI,6-10 days
스웨덴,SE,6-10 days
스위스,CH,5-8 days
룩셈부르크,LU,6-10 days
오스트리아,AT,6-10 days
벨기에,BE,6-10 days
체코,CZ,6-10 days
헝가리,HU,6-10 days
덴마크,DK,6-10 days
노르웨이,NO,8-10 days
그리스,GR,8-12 days
몰타,MT,6-10 days
불가리아,BG,6-10 days
리투아니아,LT,6-10 days
라트비아,LV,6-10 days
루마니아,RO,6-10 days
슬로베니아,SI,6-10 days
슬로바키아,SK,6-10 days
크로아티아,HR,6-10 days
에스토니아,EE,6-10 days
키프로스,CY,8-12 days
이스라엘,IL,6-10 days
캐나다,CA,6-12 days
맥시코,MX,8-15 days
브라질,BR,7-9 days
칠레,CL,10-17 days
콜롬비아,CO,11-19 days
싱가포르,SG,5-8 days
호주,AU,6-12 days
뉴질랜드,NZ,6-12 days
일본,JP,5-8 days
홍콩,HK,3~4 days
마카오,MO,4~6 days
터키,TR,8-12 days
사우디아라비아,SA,5-10 days
아랍에미리트,AE,5-10 days
한국,KR,1-2 days