품목,SG,EU,JP,MY,AU,RU,TW,US,설명
특정 전자기기 제품,X,X,X,X,X,X,X,X,"가전제품, 컴퓨터, 노트북, 라디오 등 전파 수신 가능 제품"
소형 전자기기 등,O,O,O,O,O,O,O,O,블루투스 이어폰 등 (소량 가능)
의약품,X,X,X,X,X,X,X,X,의약품
알콜 첨가된 액체류,X,X,X,X,X,X,X,X,모든 종류의 알코올과 알코올 음료
가연성 액체,X,X,X,X,X,X,X,X,"가솔린, 디젤 및 기타 연료 기름, 페인트, 시너"
가연성 고체,X,X,X,X,X,X,X,X,"성냥 및 라이터, 자연 발화성 물질, 물 반응 물질"
탄약,X,X,X,X,X,X,X,X,"화약, 총알과 같이 폭발성이 있다고 분류된 물품은 발송금지"
약물,X,X,X,X,X,X,X,X,"양귀비씨, 코카나무 씨, 대마초씨와 같이 약물 및 마약 예방 규정에 기록되어있는 조제용 물질 등"
"비의사, 비의학 처방물질 과 마약",X,X,X,X,X,X,X,X,"비의사, 비의학 처방물질 과 마약 (대마초 포함)"
화학제품,X,X,X,X,X,X,X,X,"부패하기 쉽거나, 감염된 제품, 방사능 물품, 의료폐기물"
산화 물질 및 과산화 유기물,X,X,X,X,X,X,X,X,"표백제 (물, 분말) 공업용 과산화수소"
"가공되지 않은 생산품(육류, 생물, 식품원료 등)",X,X,X,X,X,X,X,X,"암소, 염소, 양, 돼지는 가축으로, 그 외 다른 동물들은 가공되지 않은 동물들로 여겨지며, 이들에게서 나온 아이템 및 제품들은 발송금지."
부패하기 쉬운 품목,X,X,X,X,X,X,X,X,"고기, 생선, 과일, 야채, 유제품 등"
라면,O,X,O,O,X,O,X,X,라면 (러시아-확인중)
탈취제,X,X,X,X,X,X,X,X,탈취제
분유,O,X,O,O,X,O,X,X,분유
폐기물,X,X,X,X,X,X,X,X,폐기물
화장품,O,O,O,O,O,O,O,O,화장품
담배 및 담배제품,X,X,X,X,X,X,X,X,"씹는 답매, 말아서 피는 담배, 연기 없는 담배, 전자 담배"
드라이아이스,X,X,X,X,X,X,X,X,"냉매제도 포함되며, 위험품으로 간주"
"소형화기 및 무기, 모형 총기",X,X,X,X,X,X,X,X,"장난감 무기, 총기 포함"
칼,X,X,X,X,X,X,X,X,신체적 위해를 가할 목적의 무기용 칼 금지
발전기,X,X,X,X,X,X,X,X,"대부분의 발전기는 가솔린으로 테스트 되어 지는데, 탱크의 가스를 다 빼냈다 하더라도 잔여물이 남게되고 이로 인해 위험성과 인화성이 있기 때문에 금지됨"
주류,X,X,X,X,X,X,X,X,알코올 함유량이 포함된 주류
가격측정 불가 품목,X,X,X,X,X,X,X,X,"동전, 현금, 화폐, 우표, 유가증권, 우편환, 세팅되지 않은 보석류, 산업용 다이아몬드"
살아있는 동식물,X,X,X,X,X,X,X,X,"종자류, 채소, 야채 포함"
위험물/위험물품,X,X,X,X,X,X,X,X,"가스(GAS), 방사성물질, 소화기, 스프레이 등도 발송 불가"
음란물,X,X,X,X,X,X,X,X,"모든 종류의 음란 잡지, 책 또는 성인용품"
특별용품,X,X,X,X,X,X,X,X,"예술품, 골동품, 보석, 금, 은 등.."
도박물품,X,X,X,X,X,X,X,X,모든 종류의 도박 물품
종교물품,X,△,O,O,X,O,△,X,"모든 종류의 종교 출판물 또는 관련 물품 (성경, 코란, 소책자, 깃발)"
모방물품,X,X,X,X,X,X,X,X,특허제품을 모방한 물품과 폭력적인 물품 (유럽발송시 사진 및 린크 확인 필요)
원석,X,X,X,X,X,X,X,X,"루즈스톤(Loose stones), 컷팅됐거나 또는 커팅되지 않은 모든 진주 종류 그리고 준보석(자수정, 남옥, 황수정, 석류석, 터키석, 토파즈, 오닉스, 오팔 등) 과 모든 보석(다이아몬드, 에메랄드, 루비, 사파이어)은 금지입니다.,"
펜,X,X,X,X,X,X,X,X,"잉크 펜, 연필 심 등 비슷한 주사기 형태 처럼 뽀족한 제품"
기저귀,O,O,O,O,O,O,O,X,기저귀
자석,X,X,X,X,X,X,X,X,1~2개정도의 냉장고 자석만 발송 가능
화기성제품,X,X,X,X,X,X,X,X,"메탄올, 아세톤, 매니큐어, 초, 성냥 등 모든 화기성 제품 발송 불가"
항공권,X,X,X,X,X,X,X,X,항공권 발송을 금지하는 국가를 제외하고는 날짜가 정해지지 않거나 유요한 항공권은 모두 발송가능하나 서류 혹은 비서류발송물인지 여부를 확인해야함
리튬 배터리 또는 장착 물품,X,X,X,X,X,X,X,X,배터리 포함 된 물품의 경우 반드시 사전에 MSDS 서류 제출하여 선적 가능여부 확인 후 진행
보호 장치,X,X,X,X,X,X,X,X,방탄 조끼 등
양도가능물품,X,X,X,X,X,X,X,X,"양도가능물품(예: 현금, 은행환, 무기명 채권, 무기명 주권, 채권, 자기앞 수표, 예금표, 체크 (사용되지 않았거나 또는 기재된 수표 모두), 크레디트 카드, 신용장, 복권, 우편환, 약속어음, 주식, 여행자수표(사용되지 않았거나 또는 기재된 수표 모두)"
스피커,X,X,X,X,X,X,X,X,자성이 포함된 스피커에 한함